gene	eur.1k	ubc.wes	cbc.wes
80	LAMC3	0	0.0023696682464455	0.00495049504950495
81	FAM198B	0	0.00242718446601942	0.00491039426523297
82	HSD17B2	0.001	0.00352112676056338	0.00586617174294899
83	CENPF	0	0.00233644859813084	0.0047903233182421
84	WDR3	0	0.00212765957446809	0.00453797077587981
85	BCLAF1	0	0.00221238938053097	0.00452488687782805
86	C3orf52	0	0.00214592274678112	0.00438672438672439
87	DCD	0	0.00214592274678112	0.00432900432900433
88	MICB	0	0.00205761316872428	0.00432900432900433
89	POLR3F	0	0.00205761316872428	0.00431322971666543
90	C2orf57	0.002	0.00411522633744856	0.00627615062761506
91	TSC2	0.002	0.00411522633744856	0.00627615062761506
92	NRIP2	0.001	0.00280898876404494	0.00526042520631798
93	BRIP1	0	0.0020746887966805	0.00424722262299812
94	CLEC4C	0	0.00206611570247934	0.00423728813559322
95	HSPB3	0	0.00209205020920502	0.00420197740112994
96	CCDC73	0	0.00208333333333333	0.00420168067226891
97	HEATR5A	0	0.00206611570247934	0.00420168067226891
98	MFSD1	0	0.00205761316872428	0.00420168067226891
99	LAMB2	0	0.00205761316872428	0.00419303797468354
100	OR2H1	0	0.00208333333333333	0.00418410041841004
101	DNASE1	0	0.00205761316872428	0.00416666666666667
102	DUOXA2	0	0.00205761316872428	0.00416666666666667
103	PCDHGA10	0.004	0.0053475935828877	0.00810810810810811
104	AL136531.1	0.003	0.00465116279069767	0.00688073394495413
105	TEKT1	0.001	0.00232558139534884	0.00471698113207547
106	DOCK6	0.003	0.00413223140495868	0.00659402516987656
107	TCHP	0.001	0.00218340611353712	0.00454545454545455
108	TGM6	0.001	0.00205761316872428	0.00454545454545455
109	FAM160A1	0.001	0.00222222222222222	0.00441503255233714
110	CD163L1	0.001	0.00214592274678112	0.00433939530855831
111	SYDE2	0.001	0.00206611570247934	0.00433890520292147
112	MYOF	0.001	0.00208333333333333	0.00432908545727136
113	OR2T11	0.001	0.00212765957446809	0.00429184549356223
114	ADAM32	0.001	0.00208333333333333	0.00425531914893617
115	C19orf80	0.001	0.00206611570247934	0.00425531914893617
116	MYO7A	0.001	0.0020746887966805	0.0042463036422647
117	ZNF596	0.001	0.00208333333333333	0.0042373642158183
118	BBS10	0.001	0.0020746887966805	0.00421948440393106
119	ZFAND1	0.001	0.00205761316872428	0.00421940928270042
120	ANKRD35	0.001	0.00205761316872428	0.00421069427700163
121	GRK4	0.001	0.00206611570247934	0.00420175485055523
122	PPP2R1B	0.001	0.00205761316872428	0.00420168067226891
123	DGKD	0.001	0.00205761316872428	0.00419289054533947
124	FIGNL1	0.001	0.00205761316872428	0.00419289054533947
125	LGALS12	0.001	0.00208333333333333	0.00419289054533947
126	APOL3	0.001	0.00205761316872428	0.00416666666666667
