Gene	Estimate	SE	P.Wald	P.LRT	P.Score
390	EGFL8	0.729	0.872	0.403	0.389	0.393
391	P2RX5	0.119	0.138	0.389	0.389	0.389
392	STARD9	-0.733	0.877	0.403	0.389	0.393
393	CCAR1	0.296	0.346	0.392	0.39	0.391
394	KLK14	-0.487	0.579	0.4	0.394	0.396
395	TRBV30	0.139	0.163	0.394	0.394	0.394
396	ZSWIM1	0.628	0.75	0.402	0.394	0.396
397	IL17RB	0.202	0.238	0.396	0.395	0.395
398	NUDT7	0.722	0.874	0.409	0.395	0.4
399	PRAMEF2	0.279	0.33	0.398	0.396	0.396
400	ABCF1	-0.088	0.104	0.398	0.397	0.397
401	C3orf72	-0.451	0.537	0.402	0.397	0.398
402	C2orf91	-0.125	0.149	0.4	0.399	0.4
403	MOGAT1	-0.483	0.581	0.406	0.4	0.402
404	PLA2R1	-0.963	1.21	0.426	0.4	0.413
405	COL23A1	0.446	0.537	0.406	0.401	0.403
406	NCR3LG1	-0.253	0.302	0.403	0.401	0.402
407	EBLN2	0.15	0.18	0.405	0.403	0.404
408	C6orf229	0.279	0.337	0.408	0.405	0.406
409	CARS2	0.708	0.875	0.418	0.405	0.409
410	C2orf76	-0.705	0.873	0.42	0.406	0.411
411	GBP4	0.7	0.874	0.423	0.409	0.414
412	KANK4	-0.699	0.872	0.423	0.409	0.414
413	OR4L1	0.122	0.148	0.411	0.41	0.41
414	ZNF563	0.697	0.872	0.424	0.411	0.416
415	ACSM3	0.697	0.875	0.426	0.412	0.417
416	ZNF480	-0.118	0.144	0.414	0.413	0.413
417	DAPP1	0.441	0.56	0.431	0.414	0.419
418	HLA-A	0.691	0.872	0.428	0.415	0.419
419	RAD52	0.342	0.422	0.418	0.416	0.417
420	SLC41A3	-0.124	0.152	0.416	0.416	0.416
421	ZNF516	-0.075	0.092	0.417	0.417	0.417
422	CYP2F1	0.149	0.184	0.419	0.418	0.418
423	IFIH1	-0.329	0.41	0.423	0.418	0.419
424	THSD7B	-0.509	0.641	0.427	0.419	0.422
425	GALNT9	0.162	0.203	0.426	0.425	0.425
426	KHDC1	-0.187	0.235	0.426	0.425	0.426
427	PTH2R	-0.455	0.58	0.432	0.427	0.429
428	FOLR3	-0.219	0.277	0.43	0.428	0.429
429	KRT24	-0.101	0.127	0.428	0.428	0.428
430	CCNYL2	0.115	0.147	0.432	0.431	0.431
431	DHFRL1	-0.669	0.873	0.443	0.431	0.435
432	BEST3	0.26	0.333	0.434	0.432	0.433
433	DRD4	-0.42	0.546	0.441	0.433	0.436
434	CEACAM21	0.125	0.161	0.436	0.435	0.435
435	IGHV3-43	0.449	0.582	0.44	0.435	0.437
436	CCR5	0.169	0.217	0.436	0.436	0.436
437	C5orf45	-0.66	0.872	0.449	0.437	0.442
438	IGHJ6	0.118	0.152	0.438	0.437	0.437
439	PIWIL3	-0.659	0.872	0.45	0.437	0.442
440	SYTL2	-0.659	0.873	0.451	0.438	0.443
441	ASMTL	0.157	0.204	0.442	0.442	0.442
442	NUDT17	-0.129	0.169	0.444	0.442	0.443
443	TMPRSS3	-0.189	0.247	0.443	0.442	0.442
444	C15orf48	-0.556	0.74	0.452	0.445	0.447
445	CWH43	0.558	0.742	0.453	0.445	0.447
446	TCTEX1D1	-0.156	0.204	0.446	0.445	0.445
447	NDUFV3	0.186	0.244	0.447	0.446	0.446
448	AGXT	0.652	0.88	0.459	0.447	0.452
449	APOL3	0.924	1.255	0.461	0.447	0.448
450	TMEM59	0.92	1.253	0.463	0.448	0.449
451	LIPJ	-0.648	0.879	0.461	0.449	0.453
452	CHRFAM7A	0.121	0.16	0.451	0.45	0.45
453	C7orf55-LUC7L2	0.146	0.195	0.452	0.452	0.452
454	CAST	0.091	0.12	0.452	0.452	0.452
455	KRTAP19-6	-0.105	0.139	0.452	0.452	0.452
456	PGC	-0.092	0.123	0.454	0.454	0.454
457	TLR5	-0.223	0.299	0.455	0.454	0.455
458	CSRP2BP	0.215	0.288	0.456	0.455	0.455
459	HS1BP3	0.118	0.159	0.46	0.459	0.459
460	CXCR1	0.539	0.74	0.467	0.46	0.462
461	STARD6	0.28	0.381	0.462	0.461	0.461
462	PLA2G4C	0.367	0.503	0.465	0.462	0.463
463	NCAPH2	-0.134	0.184	0.464	0.463	0.463
464	PAPD7	0.27	0.37	0.465	0.464	0.464
465	ZBED6CL	0.881	1.243	0.479	0.464	0.466
466	CAPG	0.53	0.738	0.473	0.466	0.468
467	LPL	-0.15	0.206	0.466	0.466	0.466
468	CPNE1	-0.147	0.203	0.469	0.468	0.468
469	DBF4B	-0.622	0.881	0.48	0.468	0.473
470	IL33	-0.527	0.738	0.476	0.469	0.471
471	CHEK2	0.523	0.738	0.478	0.471	0.474
472	DHDH	-0.094	0.131	0.473	0.472	0.472
473	H2BFM	-0.094	0.131	0.472	0.472	0.472
474	PDE6B	-0.211	0.296	0.476	0.475	0.475
475	GJE1	0.46	0.655	0.483	0.478	0.479
476	HHLA2	0.857	1.248	0.492	0.478	0.481
477	TAAR2	-0.307	0.435	0.48	0.478	0.479
478	OLFM4	0.458	0.655	0.484	0.48	0.481
479	C12orf80	-0.606	0.881	0.492	0.481	0.486
480	GP6	-0.334	0.477	0.484	0.481	0.482
